sentence,hedge
[Could] I ask you a slightly different question which is the %uh thing that's w- I'd very much appreciate before your time expires if y- you [could] just address oh for [at least] a minute or so what I [think] is a difficult aspect of the case.,could
[Could] I ask you a slightly different question which is the %uh thing that's w- I'd very much appreciate before your time expires if y- you [could] just address oh for [at least] a minute or so what I [think] is a difficult aspect of the case.,at least
[Could] I ask you a slightly different question which is the %uh thing that's w- I'd very much appreciate before your time expires if y- you [could] just address oh for [at least] a minute or so what I [think] is a difficult aspect of the case.,think
Every credit card that [says] you can return defective merchandise is to that extent an insurer.,says
So why does this fall within the [kind of] insurer that must fall within this Savings Clause?.,kind of
I [think] the Court in Pegram and it wasn't the issue before the Court in Pegram but said that _H_M_O's act [like] insurers and transfer risk [like] insurers and the Illinois statute defines an _H_M_O as an entity that bears risk.,think
I [think] the Court in Pegram and it wasn't the issue before the Court in Pegram but said that _H_M_O's act [like] insurers and transfer risk [like] insurers and the Illinois statute defines an _H_M_O as an entity that bears risk.,like
I [think] the Court in Pegram and it wasn't the issue before the Court in Pegram but said that _H_M_O's act [like] insurers and transfer risk [like] insurers and the Illinois statute defines an _H_M_O as an entity that bears risk.,like
W- %uh that's why I gave my example because I wanted you to see that [virtually] every manufacturer of the United States is a insurer in that sense.,virtually
And so is this the [kind of] thing that Illinois has traditionally regulated? Is it the [kind of] thing that other insurance commissioners have kended[.,kind of
And so is this the [kind of] thing that Illinois has traditionally regulated? Is it the [kind of] thing that other insurance commissioners have kended[.,kind of
The _H_M_O a- Insurance Act is part of the Illinois a- Insurance Code and I [think] that the insurance law meets all the factors the Court has set forth in its prior decisions with respect to what constitutes an insurer.,think
What ab- what [about] a law firm that that that handles all of all of the client's legal business just as an _H_M_O handles all of the client's medical business for a flat fee.,about
Is is that %uh law firm %uh [like] this _H_M_O an insurer?.,like
I don't [think] so.,think
and they [don't know] how much it's going to come to for the year and the other one is providing medical services and they [don't know] how much it's going to come to for the year.,don't know
and they [don't know] how much it's going to come to for the year and the other one is providing medical services and they [don't know] how much it's going to come to for the year.,don't know
Well I don't [think] an _H_M_O does either.,think
Well I I [think] the question of what's insurance under @ERISA is is a Federal question not a State.,think
Yes abs- for purposes of five fourteen ~B but we look at those factors and one relevant factor is whether it whether the the State [considers] it to be an insurer or whether it regulates it as an insurer and in both situations it does here.,considers
The effect I [think] %uh Justice O'Connor raised this issue what would be the effect of such a ruling on valentary [.,think
[May] I just ask on the question whether it's an insurance company.,May
Does the State insurance agency regulate the ter- %eh yo- %eh y- e- e- you in effect would [say] that the contract between the employer this sort of unnamed employer that everybody talks about and the %um _H_M_O is an insurance policy?.,say
I I can only [assume] it is.,assume
&lt;noise&gt; Mr Chief Justice and [may] in [may] it please the Court.,may
&lt;noise&gt; Mr Chief Justice and [may] in [may] it please the Court.,may
%uh It's e- it's entitled Persons Empowered to Bring a Civil Action and then it itemizes i- i- it then continues a civil action [may] be brought by various persons and then it goes on to describe the judicial relief that [may] be granted or awarded in a suit under section five oh two ~A.,may
%uh It's e- it's entitled Persons Empowered to Bring a Civil Action and then it itemizes i- i- it then continues a civil action [may] be brought by various persons and then it goes on to describe the judicial relief that [may] be granted or awarded in a suit under section five oh two ~A.,may
In other words the preemptive scope of section five oh two ~A has to do with causes of action civil suits in court and the judicial relief that [may] be awarded in court and that is precisely the formulation that the Court used in Pilot Life itself.,may
At the conclusion of the Court's opinion in Pilot Life the %uh the Court said %uh in distinguishing Metropolitan Life the Court said the co- the Court in Metropolitan Life had no occasion to [consider] the question presented in this case whether Congress [might] clearly express through five oh two ~A an intention that Federal r- the Federal remedy provided by that provision displaced State causes of action and that's what the question was [about] in @UNUM.,consider
At the conclusion of the Court's opinion in Pilot Life the %uh the Court said %uh in distinguishing Metropolitan Life the Court said the co- the Court in Metropolitan Life had no occasion to [consider] the question presented in this case whether Congress [might] clearly express through five oh two ~A an intention that Federal r- the Federal remedy provided by that provision displaced State causes of action and that's what the question was [about] in @UNUM.,might
At the conclusion of the Court's opinion in Pilot Life the %uh the Court said %uh in distinguishing Metropolitan Life the Court said the co- the Court in Metropolitan Life had no occasion to [consider] the question presented in this case whether Congress [might] clearly express through five oh two ~A an intention that Federal r- the Federal remedy provided by that provision displaced State causes of action and that's what the question was [about] in @UNUM.,about
Well you [could] look at it that way or you [could] look at it that it provides the State law provides a cause of action before this arbitrator.,could
Well you [could] look at it that way or you [could] look at it that it provides the State law provides a cause of action before this arbitrator.,could
I don't [think] that's the way it.,think
I don't [think] that's the ordinary understanding of what a cause of action is.,think
A cause of action is ordinarily regarded as [something] yo- that you would enforce directly in court.,something
You you can provide for any other [kind of] %uh of relief?.,kind of
Well I e- e- my point is that's what that's what f- s- section five oh two ~A addresses and the c- and the analysis in in Pilot Life was what does five oh two ~A displace and it's another important feature of Pilot Life is w- the Court went through the various remedies that section five oh two ~A %uh provides and and tellingly discussed this Court's decision in Russell in which the Court held that dam- punitive damages were not a w- %uh available in a suit against a fiduciary based on a on claims processing and the Court said it was not going to %uh allow a State cause of action to displace Congress' judgment [about] what damage remedies to allow and not to allow.,about
Well mi- Mr Kneedler supposing that the State provided for a very elaborate arbitration procedure you know with right to counsel %uh i- i- specified %uh the s- way the hearing [should] be conducted [and so forth] but %uh didn't didn't [say] what would happen.,should
Well mi- Mr Kneedler supposing that the State provided for a very elaborate arbitration procedure you know with right to counsel %uh i- i- specified %uh the s- way the hearing [should] be conducted [and so forth] but %uh didn't didn't [say] what would happen.,and so forth
Well mi- Mr Kneedler supposing that the State provided for a very elaborate arbitration procedure you know with right to counsel %uh i- i- specified %uh the s- way the hearing [should] be conducted [and so forth] but %uh didn't didn't [say] what would happen.,say
Well supposing that %uh after that you w- y- %eh %eh you [could] just si- simply bring an action under five oh two?.,could
%uh I I th- I [think] that would not be preempted.,think
In fact [most] States in this case %uh Illinois has not tightly regulated the the form in which the independent review will o- occur and that's consistent with the fact that these are highly %uh %uh judgmental %uh medical judgments that that medical professionals %uh are looking at.,most
But that %uh that that [may] be but li- I want to go back to the Chief Justice's question for a minute.,may
Just [assume] the absurd example in which the State provided that there are going to be %um sort of ten steps of arbitration and review between the initial denial by the plan fiduciary and the right to sue so that [someone] would be tied up for months or years before the person [could] get into court.,assume
Just [assume] the absurd example in which the State provided that there are going to be %um sort of ten steps of arbitration and review between the initial denial by the plan fiduciary and the right to sue so that [someone] would be tied up for months or years before the person [could] get into court.,someone
Just [assume] the absurd example in which the State provided that there are going to be %um sort of ten steps of arbitration and review between the initial denial by the plan fiduciary and the right to sue so that [someone] would be tied up for months or years before the person [could] get into court.,could
It I I th- I [think] the the analysis there would be one of exhaustion of remedies under the plan including those required.,think
[say] that the.,say
Yes it [could] be.,could
it [could] be excused and the Department of Labor's regulations and they've e- and they w- There would be a preemption to.,could
Okay but doesn't doesn't that mean then that that that your answers to the [several] questions on this [should] be i- it ultimately is a question of degree this requirement of one step in a review process doesn't reach the point in effect of excluding the Federal remedy?.,several
Okay but doesn't doesn't that mean then that that that your answers to the [several] questions on this [should] be i- it ultimately is a question of degree this requirement of one step in a review process doesn't reach the point in effect of excluding the Federal remedy?.,should
Mr Kneedler doesn't it give you a very different remedy? I mean %uh t- to [say] that it isn't just a matter of delay that isn't the problem here.,say
How how can that [possibly] be regarded as the same remedy that e- that @ERISA provided?.,possibly
The Court here [might] look to background principles of arbitration law and also to the terms of the plan.,might
%uh State law as Justice O'Connor pointed out [could] well be able to [say] that that sort of provision for deference to the plan administrator's interpretation of the plan [should] not be given.,could
%uh State law as Justice O'Connor pointed out [could] well be able to [say] that that sort of provision for deference to the plan administrator's interpretation of the plan [should] not be given.,say
%uh State law as Justice O'Connor pointed out [could] well be able to [say] that that sort of provision for deference to the plan administrator's interpretation of the plan [should] not be given.,should
I wanted to m- mention one other point [about] the characterization of Pilot Life and that is this Court's decision in @UNUM.,about
The Court then went on to [say] why because Ward sued under five oh two ~A one ~B itself to recover the benefits it was not a displacement of the Federal remedy it was a invocation of the Federal remedy to recover benefits and the Court said in that cause of action the notice prejudice rule of California insurance law supplied the rule of decision.,say
Another important point [about] @UNUM is the Court made clear that the processing of claims under an insurance policy it is an integral part of that insurance policy but at the same time States [may] r- regulate the process by which claims are adjudicated and that is precisely what %uh the State has done in this case.,about
Another important point [about] @UNUM is the Court made clear that the processing of claims under an insurance policy it is an integral part of that insurance policy but at the same time States [may] r- regulate the process by which claims are adjudicated and that is precisely what %uh the State has done in this case.,may
One other point [about] section five oh two it's patterned after section three oh one of the _L_M_R_A an arbitration preceding judicial review is a very familiar aspect of judicial review under section three oh one.,about
A State law that compelled the parties to a collective bargaining agreement to resolve their disputes in a particular manner even arbitration would [surely] be preempted under the Labor Management Relations Act.,surely
The existence of an alternative remedy is in fact an interference with section five oh two and that test is at option with the beneficiary is peculiarly inappropriate when you're talking [about] preemption.,about
Preemption [often] is the result of a quid pro quo.,often
To [say] that additional remedies are okay so long as the employee can still resort to the Federal remedy [seems] to ignore the typical dynamic of preemption.,say
To [say] that additional remedies are okay so long as the employee can still resort to the Federal remedy [seems] to ignore the typical dynamic of preemption.,seems
And as far as the arbitration analogy goes the fact that the plans [may] or [may] not be able to voluntarily adopt such a remedy doesn't mean the State can compel it.,may
And as far as the arbitration analogy goes the fact that the plans [may] or [may] not be able to voluntarily adopt such a remedy doesn't mean the State can compel it.,may
